Main Category,Tags,Image Title,Image URL,Prompt Text,unique tag,unique categories
,,Hair Care Routine,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Hair%20Care%20Routine.webp,"Use the uploaded reference image as facial and identity guidance.

Create a photorealistic lifestyle beauty photograph of a woman with naturally curly hair applying leave-in hair.

She is wearing a simple white tank top. Skin appears real and natural with visible pores, fine texture, no heavy retouching, no plastic or airbrushed look.

Scene is a bright modern bathroom with tropical green plants, neutral tones.

Lighting: soft diffused daylight with subtle beauty fill light, clean highlights, no harsh shadows.

Camera: professional DSLR, 50mm lens, f/1.8, shallow depth of field, sharp focus on face and hair.

Composition: waist-up portrait, lifestyle candid moment, premium skincare advertisement aesthetic.

Style: clean, minimal, high-end commercial beauty photography.

Aspect ratio: 9:16 vertical.

Ultra high resolution, photorealistic.","2D
3D
Academic
Action
Adventure
Aesthetic
Anime
Artistic
B&W
Beach
Beauty
Birthday
Black & White
Business
Cafe
Career
Casual
Celebration
Christmas
Cinematic
Clothes
Costume
Couples
Creative
Cycling
Dark
Detail
Elegant
Emotional
Events
Family
Fantasy
Fashion
Fitness
Food
Formal
Fun
Gym
Hair
Halloween
Hobbies
Indoor
Jewelry
Lifestyle
Luxury
Men
Minimal
Moody
Motorcycle
Music
Nature
Neon
Night
Office
Outdoor
Painting
Party
Portrait
Professional
Retro
Romantic
Selfie
Snow
Sports
Streetwear
Studio
Summer
Sunset
Surreal
Traditional
Travel
Urban
Vehicles
Water
Wedding
Wellness
Winter
Women","Women's Hairstyles
Men's Haircuts
Travel & Nature
Events & Celebrations
Cinematic & Artistic
Fashion & Luxury
People & Portraits
Urban & Architecture
Business & Career
Lifestyle & Hobbies
Vehicles & Action
Fantasy & Anime
✨ Outfit Try-On ✨
👩‍❤️‍💋‍👨 Kiss With Anyone 👩‍❤️‍💋‍👨"
,,Urban Reflection in Dramatic Light,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Urban%20Reflection%20in%20Dramatic%20Light.webp,"Dramatic, ultra-realistic close-up in black and white with high-contrast cinematic lighting from the side, highlighting the contours of his face and beard, casting deep shadows. He wears round, reflective sunglasses. He gazes confidently upward into a dark void. The sunglasses reflect a city's towering skyline. The atmosphere is mysterious with a minimalist black background. Details in 4K. Keep the subject's exact facial structure, hair texture, the original photo.",,
,,Honey & Fire,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Honey%20&%20Fire.webp,"Using the the attached photo reference, Extreme close-up beauty headshot of a confident young woman with long dark hair and vibrant blue highlights. She is wearing small gold hoop earrings and bold matte terracotta lipstick. Accessories: delicate gold crescent moon necklace, round vintage metal-rimmed sunglasses with orange-tinted lenses. Outfit: sharp black blazer with deep V-neck. Pose: chin tilted back, looking down at camera, haughty expression. Background: solid vibrant mustard yellow. Lighting: high-contrast studio butterfly lighting, sharp focus on lips and jewelry, 8k resolution, macro photography style. 9:16 ratio.",,
,,Black & White Portrait,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Black%20&%20White%20Portrait.webp,"Using the attached photo reference, the image is a full-body, black and white studio portrait of a man. He is seated centered on a simple metal-framed chair with a light-colored seat, angled slightly to the right but facing forward. His legs are bent at the knees, feet flat on the floor, and his hands are clasped loosely between his knees. He wears a dark, double-breasted suit jacket with peaked lapels, unbuttoned, over a white collared shirt, dark trousers, dark socks, and dark dress shoes. Accessories include a watch on his left wrist and a bracelet on his right, with a ring on his left ring finger. He has short, dark, styled hair and a full beard. The lighting is soft and dramatic, coming from the upper right, creating highlights on his face, hands, and the folds of his suit, while casting shadows on the left side of his body and under the chair. The background is a plain, seamless grey studio wall gradient, lighter behind him and darker at the edges. The shot is captured from a medium distance at eye level with a deep depth of field. The aspect ratio is 9:16.",,
,,Rose Satin Reverie,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Rose%20Satin%20Reverie.webp,"Using the attached photo reference as a strict guide for pose and identity: Create a hyper-realistic beauty portrait of a woman with long, sleek dark hair and defined eyebrows. She is looking off-camera to the right with a soft, dreamy expression. Makeup details: glossy mauve lipstick, soft brown eyeshadow, groomed fluffy brows, and a small diamond nose stud on her left nostril. Lighting: Direct 'Golden Hour' sunlight hitting the left side of her face, creating a warm glow and sharp, realistic shadows on her neck and hair. Skin texture: visible pores, sun-kissed glow, high-end retouching style but not plastic. Outfit: dusty pink silk satin V-neck top. Background: blurred warm beige/brown interior, bokeh effect. Camera settings: 85mm portrait lens, f/1.8, focus on eyes and lips. 8k resolution, cinematic lighting. Aspect ratio 9:16",,
,,Green Day,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Green%20Day.webp,"Using the attached photo reference as a strict guide for pose, subject, and attire, the aspect ratio is 9:16. It is a full-body studio portrait of a man with a short beard, seated directly facing the camera in a a bit dark green fabric wingback chair. He is wearing a forest green two-button suit over a white crew-neck t-shirt, with white sneakers featuring green heel accents. His hands are clasped together on his lap. A watch is on his left wrist. The background is a seamless, matching dark green studio wall and floor. The lighting is soft, even, professional studio illumination, creating gentle shadows beneath the chair and subject. The shot is at eye level.",,
,,Blue Dreams of Morocco,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Blue%20Dreams%20of%20Morocco.webp,"Using the attached photo reference as a strict guide, the aspect ratio is 9:16. It is a full-body photograph of a smiling woman standing on stone steps in a vibrant blue-painted alleyway. She wears an off-the-shoulder white ruffled blouse and a long black skirt, with black flats. Her right hand touches the blue wall, and she looks up to the right, smiling. Warm, golden late afternoon sunlight streams in from the upper right, casting strong, dappled shadows and highlighting the textured walls, potted plants with pink and yellow flowers, and the subject. A ginger cat sleeps on a step in the foreground. The colors are rich and saturated, with strong contrasts between the blue walls, warm light, and green foliage. The background features an ornate wooden door. The shot is from a medium distance.",,
,,Soft Static Winter,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Soft%20Static%20Winter.webp,"Using the attached photo reference as a strict guide, the aspect ratio is 9:16. It is a four-panel photo collage with a central music player overlay, all featuring the same woman in a festive, snowy setting.
Top Left: A medium shot of the woman in a green cable-knit sweater, holding a mug and looking out a window at falling snow. Warm indoor light from the right contrasts with the cool outdoor light.
Top Right: A close-up of hands in white knit gloves decorating a Christmas tree with red baubles next to a lit fireplace. Warm, flickering firelight casts long shadows.
Center: A white music player UI with a green gift icon, displaying ""Last Christmas - Wham! All I Want for Christmas Is You - Mariah Carey"" with playback controls.
Bottom Left: A full-body outdoor shot of the woman in a grey coat and red scarf walking down a snowy street, holding a gift. Cold daylight with falling snow.
Bottom Right: A medium shot of the woman reading a book on a couch, covered in a red blanket with a puppy. Soft indoor light from a window.
The overall atmosphere is cozy and warm with falling snow across all panels.",,
,,Monochrome Cinematic Iconic,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Monochrome%20Cinematic%20Iconic.webp,"Using the attached photo reference as a strict guide, the aspect ratio is 9:16. It is a black and white photograph of a man with short dark hair and a beard, wearing a black leather jacket over a dark shirt. He stands in the foreground, arms crossed, looking directly at the camera with a slight smile; a watch is visible on his left wrist. The background is a grid of nine smaller, framed black and white portraits of the same man in various poses (hand on chin, adjusting cuffs, etc.) and different dark blazers or shirts. Dramatic, high-contrast lighting from the upper right highlights the texture of the leather jacket and the contours of his face, casting deep shadows. The shot is a medium close-up.",,
,,Colors Style Studio,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Colors%20Style%20Studio.webp,"Using the attached photo reference as a strict guide, the aspect ratio is 9:16. It is a medium shot photograph of a man with short dark hair, a beard, and a stud earring in his left ear, singing passionately into a large, silver condenser microphone suspended from above. He wears a black hooded sweatshirt and black over-ear studio headphones. His head is tilted slightly up and to the right, his right hand gestures with a pointed finger near his chest, and his left hand is open, palm up. Soft, directional lighting from the upper right highlights the right side of his face, the microphone, and the texture of his hoodie, casting distinct shadows on the left side of his face, neck, and body. The background is a solid, deep maroon wall with a slight gradient, darker at the edges, providing strong color contrast with his black attire.",,
